address,code,Latitude,Longitude
Saint Petersburg Sverdlovskaya Embankment 58 п7,Код: 7в593,59.956453,30.407802
Всеволожск Александровская ул 77к1 п3,Код: в41в5702,60.025925,30.629946
Всеволожск Всеволожский пр 18 п1,Код: #1111,60.022342,30.644687
Всеволожск Знаменская ул 3,Код: 73/#1234,59.988568,30.652045
Всеволожск Колтушское шоссе 44к1 п4,Код: 131в4444 148в217,60.033063,30.634689
Всеволожск Коралловская ул 14к1 п2,Код: #3333,60.020305,30.651416
Всеволожск Коралловская ул 14к2 п1,Код: #5555,60.020354,30.650535
Всеволожск Ленинградская ул 15к2,Код: в200в7273,60.026945,30.632776
Всеволожск Ленинградская ул 20к3 п2,Код: #1717,60.029395,30.626937
Всеволожск Московская ул 27/5 п2,Код: #9774,59.988253,30.650868
Всеволожск Невская ул 3 п2,Код: #99999,59.990669,30.652197
Всеволожск Северная ул 4,Код: 54321в,60.005729,30.603931
Всеволожск Советская ул 41 п1,Код: #6531,60.014567,30.614163
Всеволожск Степной пр 16к2 п1,Код: #8527,60.033131,30.684357
Всеволожск пер Вахрушева 13 п1,Код: #1301,60.022184,30.647598
Всеволожск пер Вахрушева 21 п2,Код: 2в25,60.023012,30.648065
Всеволожск ул Балашова 8/3 п2,Код: 12321в00603в,60.031041,30.634860
Всеволожск ул Доктора Сотникова 29,Код: #1234,59.981865,30.640717
Всеволожск ул Доктора Сотникова 29 п1,Код: #1234,59.981568,30.640654
Всеволожск ул Рябиновая Роща 4к1 п1,Код: #1980#,60.034758,30.659186
Всеволожск ул Шинников 1к3,Код: #1945,60.036605,30.652629
Всеволожск ул Шинников 3к1,Код: #1945,60.036263,30.654901
Городской поселок Новоселье Центральная ул 10к2 п1,Код: #2009,59.807631,30.067223
Городской поселок Янино-1 Мельничный пер 1 п1,Код: #4230,59.947829,30.583207
Городской поселок Янино-1 Ясная ул 10 п1,Код: *#0505,59.957381,30.595091
Городской поселок Янино-1 Ясная ул 11к2 п3,Код: #1123,59.957917,30.599448
Городской поселок Янино-1 Ясная ул 16к1 п1,Код: #8201,59.958751,30.598846
Городской поселок Янино-1 Ясная ул 16к1 п2,Код: #8202,59.959102,30.598289
Городской поселок Янино-1 Ясная ул 16к2 п2,Код: #8302,59.959458,30.599233
Городской поселок Янино-1 Ясная ул 16к3 п1,Код: *#3535,59.959156,30.596646
Городской поселок Янино-1 Ясная ул 4 п2,Код: #1101,59.957237,30.592540
Городской поселок Янино-1 Ясная ул 4 п4,Код: #1103,59.957642,30.592262
Городской поселок Янино-1 Ясная ул 4к1,Код: *#1103,59.957579,30.593259
Городской поселок Янино-1 Ясная ул 4к1 п1,Код: #2100,59.957327,30.593492
Гп. Янино-1 ул Ясная 10,Код: #0505,59.957453,30.595496
Гп. Янино-1 ул Ясная 16к1,Код: #8202,59.958845,30.598514
Зеленогорск пр Ленина 22 п1,Код: 248,60.196991,29.703900
Колпино Адмиралтейская ул 25 п3,Код: 66в,59.741758,30.592414
Колпино Заводской пр 36 п1,Код: 86851,59.731409,30.578473
Колпино Заводской пр 38,Код: 105в,59.731015,30.579218
Колпино Заводской пр 44,Код: 24894,59.730697,30.581976
Колпино Заводской пр 60,Код: 77753,59.732008,30.588480
Колпино Заводской пр 62 п1,Код: 33,59.732303,30.587968
Колпино Загородная ул 62,Код: 01234в,59.775816,30.592396
Колпино Павловская ул 38/17,Код: 45228,59.747729,30.578302
Колпино Павловская ул 7 п2,Код: #0701,59.747752,30.589019
Колпино Павловская ул 7 п3,Код: #0701,59.747580,30.588579
Колпино Павловская ул 86,Код: 23360,59.747172,30.566714
Колпино Павловская ул 92 п1,Код: 47439,59.747666,30.566148
Колпино Пролетарская ул 60к2 п1,Код: 16655,59.740815,30.565240
Колпино Пролетарская ул 62 п2,Код: 98220,59.741794,30.562707
Колпино Тосненский пер 12 п2,Код: *#4230,59.742901,30.604632
Колпино бульвар Трудящихся 33к3 п2,Код: 50351,59.733278,30.583692
Колпино наб Комсомольского Канала 28/19 п4,Арка: 23994,59.748088,30.613363
Колпино пр Ленина 15/9 п1,Код: 27988,59.750254,30.586764
Колпино пр Ленина 17/10 п1,Код: 35297,59.750354,30.585902
Колпино ул Ижорского Батальона 19,Код: #4230,59.736838,30.618475
Колпино ул Ижорского Батальона 19 п1,Код: #4230,59.736670,30.618537
Колпино ул Ижорского Батальона 19 п2,Код: #4230,59.736933,30.618223
Колпино ул Ижорского Батальона 23 п1,Код: 126в,59.737328,30.619463
Колпино ул Машиностроителей 3,Код: #1111,59.732294,30.572211
Колпино ул Машиностроителей 4 п1,Код: #423,59.732715,30.569391
Колпино ул Машиностроителей 4 п2,Код: #423,59.732842,30.569022
Колпино ул Пролетарская 56,Код: 84706,59.741482,30.568043
Красное Село ул Театральная 7,Код: 98220,59.722627,30.085657
Красное село ул Освобождения 28 п3,Код: 77718в,59.740271,30.088433
Кудрово Венская ул 4к1 п1,Код: #00000,59.900561,30.507901
Кудрово Каштановая аллея 3 п3,Код: 283в283,59.916352,30.512366
Кудрово Каштановая аллея 3 п4,Код: 302в303 396в396 302в302,59.916311,30.512366
Кудрово Ленинградская ул 3,Код: #8745 63,59.912797,30.506266
Кудрово Ленинградская ул 5,Код: #4230,59.914250,30.511539
Кудрово Ленинградская ул 5 п10,Код: #4230,59.914241,30.511692
Кудрово Ленинградская ул 9/8 п7,Код: 648в648,59.915445,30.519750
Кудрово Областная ул 1 п18,Код: в2580в,59.916861,30.505197
Кудрово Областная ул 3 п8,Код: в2580в,59.918701,30.507389
Кудрово Областная ул 5к6 п18,Код: 1345,59.916951,30.509320
Кудрово Областная ул 7,Код: #4230,59.917799,30.512033
Кудрово Областная ул 9к2 п2,Код: #2345,59.917281,30.514468
Кудрово Пражская ул 13,Код: в1315,59.906359,30.520944
Кудрово Пражская ул 13 п1,Код: в1315,59.906066,30.520343
Кудрово Пражская ул 13 п2,Код: в1315,59.906553,30.520289
Кудрово Пражская ул 13 п4,Код: в1315,59.906337,30.521295
Кудрово Пражская ул 13 п5,Код: в1315,59.905998,30.521187
Кудрово Пражская ул 15,Арка: в1907 Код: в1513,59.904423,30.521430
Кудрово Пражская ул 15 п12,Код: в1315,59.905403,30.520891
Кудрово Пражская ул 15 п6,Код: в1513,59.904487,30.521708
Кудрово Пражская ул 4,Арка: в2912в в2536в Код: 2182 в1436 в2912в,59.910153,30.510111
Кудрово Пражская ул 4 п1,Арка: 2219в Код: в1436 в2912в,59.910374,30.508602
Кудрово Пражская ул 4 п10,Код: в2912в,59.910361,30.512267
Кудрово Пражская ул 4 п2,Код: в2536 в2912,59.910668,30.509410
Кудрово Пражская ул 4 п3,Арка: в3613 Код: в2912,59.910817,30.509940
Кудрово Пражская ул 4 п4,Арка: в4769 Код: в2912,59.910686,30.510659
Кудрово Пражская ул 4 п5,Код: в2912в,59.910379,30.510515
Кудрово Пражская ул 4 п6,Код: в2912в,59.909964,30.510039
Кудрово Пражская ул 4 п7,Код: в2912в,59.910402,30.511620
Кудрово Пражская ул 4 п8,Код: в2912в,59.910077,30.511719
Кудрово Пражская ул 4 п9,Арка: в2912в Код: в2912в,59.909648,30.511494
Кудрово Столичная ул 4к4 п1,Код: 22,59.908489,30.513578
Кудрово Столичная ул 6 п1,Код: в62,59.900064,30.514288
Кудрово Центральная ул 52к1 п2,Код: #1234,59.897469,30.507290
Кудрово Центральная ул 52к1 п3,Код: #1234,59.897284,30.507389
Кудрово пр Строителей 2 п3,Код: 299в299,59.918819,30.515986
Кудрово пр Строителей 20к1 п1,Код: в6228в,59.899658,30.519696
Кудрово пр Строителей 6,Код: #1397,59.916830,30.518842
Кудрово ул Английская 1,Код: 1920#,59.902271,30.514602
Кудрово ул Областная 1,Код: в2580в,59.916121,30.504928
Кудрово ул Областная 7,Арка: #4230 Код: #000,59.917799,30.512033
Кудрово ул Областная 9к2,Код: #1532#,59.917326,30.515195
Кудрово ул Пражская 13,Код: в1315,59.906359,30.520944
Кудрово ул Пражская 4,Код: в2912в,59.910153,30.510111
Кудрово ул Пражская 4 п1,Код: в1436,59.910374,30.508602
Кудрово ул Пражская 4 п8,Арка: в2912 Код: в2912 в1436,59.910077,30.511719
Кудрово ул Пражская 4 п9,Арка: в2912в,59.909648,30.511494
Кудрово ул Пражская 6,Арка: в2912в,59.909504,30.512375
Мурино Боровая ул 16 п1,Код: #9633,60.050080,30.449654
Мурино Боровая ул 16 п2,Код: #9633,60.050480,30.449987
Мурино Воронцовский бульвар 12,Код: в1в,60.057976,30.422462
Мурино Воронцовский бульвар 12 п3,Код: в1в,60.057842,30.422588
Мурино Воронцовский бульвар 14 п2,Код: в1111с1111в,60.060518,30.427367
Мурино Воронцовский бульвар 14к1,Код: в65432в,60.061084,30.424322
Мурино Воронцовский бульвар 14к1 п2,Арка: в1111в Код: в65432в,60.061053,30.424456
Мурино Воронцовский бульвар 14к3,Код: в1111вв,60.060833,30.425867
Мурино Воронцовский бульвар 14к4,Код: в1111в,60.061116,30.426747
Мурино Воронцовский бульвар 14к5 п2,Код: в1111в,60.060500,30.427115
Мурино Воронцовский бульвар 14к5 п3,Код: в1111в,60.060833,30.427430
Мурино Воронцовский бульвар 17 п3,Код: 6852в,60.062485,30.423899
Мурино Воронцовский бульвар 18 п2,Код: 300в300 333в333 224в224 298в298 278в278,60.064461,30.427259
Мурино Воронцовский бульвар 18 п3,Код: 398в398,60.064722,30.427520
Мурино Воронцовский бульвар 18 п4,Код: 702в702,60.065112,30.427798
Мурино Воронцовский бульвар 20к2 п3,Код: в33333в,60.066145,30.430358
Мурино Воронцовский бульвар 20к3 п2,Код: в22222в,60.065395,30.431427
Мурино Воронцовский бульвар 20к3 п3,Код: в33333в,60.065947,30.431859
Мурино Воронцовский бульвар 8 п2,Код: в12345в,60.055362,30.421753
Мурино Графская ул 12к2 п1,Код: 001в001 110в110 001в001в,60.064582,30.428813
Мурино Графская ул 2 п1,Код: в2101в,60.061152,30.441551
Мурино Графская ул 8 п1,Код: в0812вв,60.063204,30.431149
Мурино Екатерининская ул 22к1,Арка: 10475 Код: #4230,60.062346,30.440455
Мурино Екатерининская ул 22к1 п1,Код: 10117,60.061726,30.440482
Мурино Екатерининская ул 22к1 п4,Арка: 10699 Код: 699 816вв,60.062881,30.441039
Мурино Екатерининская ул 6к1 п2,Код: 14,60.054469,30.436206
Мурино Екатерининская ул 8к1 п1,Код: #4230,60.057671,30.436512
Мурино Екатерининская ул 8к1 п2,Код: #4230,60.057936,30.436736
Мурино Новая ул 7 п2,Код: 328,60.040514,30.447417
Мурино Оборонная ул 8,Код: #423,60.046320,30.465509
